event_index,ts_event,account_id,account_type,currency,total,locked,free,reported
0,60000000000,BINANCE-001,MARGIN,USDT,1000.00000000,0.00000000,1000.00000000,True
1,120000000000,BINANCE-001,MARGIN,USDT,1000.00000000,200.00000000,800.00000000,False
2,240000000000,BINANCE-001,MARGIN,USDT,990.00000000,100.00000000,890.00000000,False
3,360000000000,BINANCE-001,MARGIN,USDT,980.00000000,0.00000000,980.00000000,False
4,480000000000,BINANCE-001,MARGIN,USDT,980.00000000,90.00000000,890.00000000,False
