client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210420-000000-001-140724387083984-78,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1618876800000000000,1618876860000000000
O-20210421-000000-001-140724387083984-79,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1618963200000000000,1618963260000000000
O-20210422-000000-001-140724387083984-80,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619049600000000000,1619049660000000000
O-20210423-000000-001-140724387083984-81,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619136000000000000,1619136060000000000
O-20210424-000000-001-140724387083984-82,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619222400000000000,1619222460000000000
O-20210425-000000-001-140724387083984-83,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619308800000000000,1619308860000000000
O-20210426-000000-001-140724387083984-84,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619395200000000000,1619395260000000000
O-20210427-000000-001-140724387083984-85,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619481600000000000,1619481660000000000
O-20210428-000000-001-140724387083984-86,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619568000000000000,1619568060000000000
O-20210429-000000-001-140724387083984-87,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619654400000000000,1619654460000000000
O-20210430-000000-001-140724387083984-88,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619740800000000000,1619740860000000000
O-20210501-000000-001-140724387083984-89,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619827200000000000,1619827260000000000
O-20210502-000000-001-140724387083984-90,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1619913600000000000,1619913660000000000
O-20210503-000000-001-140724387083984-91,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620000000000000000,1620000060000000000
O-20210504-000000-001-140724387083984-92,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620086400000000000,1620086460000000000
O-20210505-000000-001-140724387083984-93,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620172800000000000,1620172860000000000
O-20210506-000000-001-140724387083984-94,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620259200000000000,1620259260000000000
O-20210507-000000-001-140724387083984-95,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620345600000000000,1620345660000000000
O-20210508-000000-001-140724387083984-96,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620432000000000000,1620432060000000000
O-20210509-000000-001-140724387083984-97,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620518400000000000,1620518460000000000
O-20210510-000000-001-140724387083984-98,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620604800000000000,1620604860000000000
O-20210511-000000-001-140724387083984-99,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620691200000000000,1620691260000000000
O-20210512-000000-001-140724387083984-100,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620777600000000000,1620777660000000000
O-20210513-000000-001-140724387083984-101,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620864000000000000,1620864060000000000
O-20210514-000000-001-140724387083984-102,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1620950400000000000,1620950460000000000
O-20210515-000000-001-140724387083984-103,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621036800000000000,1621036860000000000
O-20210516-000000-001-140724387083984-104,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621123200000000000,1621123260000000000
O-20210517-000000-001-140724387083984-105,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621209600000000000,1621209660000000000
O-20210518-000000-001-140724387083984-106,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621296000000000000,1621296060000000000
O-20210519-000000-001-140724387083984-107,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621382400000000000,1621382460000000000
O-20210520-000000-001-140724387083984-108,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621468800000000000,1621468860000000000
O-20210521-000000-001-140724387083984-109,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621555200000000000,1621555260000000000
O-20210522-000000-001-140724387083984-110,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621641600000000000,1621641660000000000
O-20210523-000000-001-140724387083984-111,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621728000000000000,1621728060000000000
O-20210524-000000-001-140724387083984-112,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621814400000000000,1621814460000000000
O-20210525-000000-001-140724387083984-113,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621900800000000000,1621900860000000000
O-20210526-000000-001-140724387083984-114,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1621987200000000000,1621987260000000000
O-20210527-000000-001-140724387083984-115,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622073600000000000,1622073660000000000
O-20210528-000000-001-140724387083984-116,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622160000000000000,1622160060000000000
O-20210529-000000-001-140724387083984-117,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622246400000000000,1622246460000000000
O-20210530-000000-001-140724387083984-118,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622332800000000000,1622332860000000000
O-20210531-000000-001-140724387083984-119,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622419200000000000,1622419260000000000
O-20210601-000000-001-140724387083984-120,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622505600000000000,1622505660000000000
O-20210602-000000-001-140724387083984-121,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622592000000000000,1622592060000000000
O-20210603-000000-001-140724387083984-122,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622678400000000000,1622678460000000000
O-20210604-000000-001-140724387083984-123,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622764800000000000,1622764860000000000
O-20210605-000000-001-140724387083984-124,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622851200000000000,1622851260000000000
O-20210606-000000-001-140724387083984-125,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1622937600000000000,1622937660000000000
O-20210607-000000-001-140724387083984-126,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623024000000000000,1623024060000000000
O-20210608-000000-001-140724387083984-127,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623110400000000000,1623110460000000000
O-20210609-000000-001-140724387083984-128,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623196800000000000,1623196860000000000
O-20210610-000000-001-140724387083984-129,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623283200000000000,1623283260000000000
O-20210611-000000-001-140724387083984-130,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623369600000000000,1623369660000000000
O-20210612-000000-001-140724387083984-131,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623456000000000000,1623456060000000000
O-20210613-000000-001-140724387083984-132,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623542400000000000,1623542460000000000
O-20210614-000000-001-140724387083984-133,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623628800000000000,1623628860000000000
O-20210615-000000-001-140724387083984-134,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623715200000000000,1623715260000000000
O-20210616-000000-001-140724387083984-135,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623801600000000000,1623801660000000000
O-20210617-000000-001-140724387083984-136,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623888000000000000,1623888060000000000
O-20210618-000000-001-140724387083984-137,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1623974400000000000,1623974460000000000
O-20210619-000000-001-140724387083984-138,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624060800000000000,1624060860000000000
O-20210620-000000-001-140724387083984-139,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624147200000000000,1624147260000000000
O-20210621-000000-001-140724387083984-140,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624233600000000000,1624233660000000000
O-20210622-000000-001-140724387083984-141,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624320000000000000,1624320060000000000
O-20210623-000000-001-140724387083984-142,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624406400000000000,1624406460000000000
O-20210624-000000-001-140724387083984-143,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624492800000000000,1624492860000000000
O-20210625-000000-001-140724387083984-144,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624579200000000000,1624579260000000000
O-20210626-000000-001-140724387083984-145,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624665600000000000,1624665660000000000
O-20210627-000000-001-140724387083984-146,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624752000000000000,1624752060000000000
O-20210628-000000-001-140724387083984-147,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624838400000000000,1624838460000000000
O-20210629-000000-001-140724387083984-148,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1624924800000000000,1624924860000000000
O-20210630-000000-001-140724387083984-149,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1625011200000000000,1625011260000000000
O-20210701-000000-001-140724387083984-150,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1625097600000000000,1625097660000000000
O-20210702-000000-001-140724387083984-151,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1625184000000000000,1625184060000000000
O-20210703-000000-001-140724387083984-152,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1625270400000000000,1625270460000000000
O-20210704-000000-001-140724387083984-153,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1625356800000000000,1625356860000000000
O-20210705-000000-001-140724387083984-154,BTCUSDT-PERP.BINANCE,BUY,MARKET,GTC,0.100,0.000,0.100,REJECTED,1625443200000000000,1625443260000000000
O-20210706-000000-001-140724387083984-155,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1625529600000000000,1625529660000000000
O-20210707-000000-001-140724387083984-156,BTCUSDT-PERP.BINANCE,SELL,MARKET,GTC,0.100,0.000,0.100,REJECTED,1625616000000000000,1625616060000000000
