client_order_id,instrument_id,side,order_type,time_in_force,quantity,filled_qty,leaves_qty,status,initialized_ns,terminal_ns
O-20210201-000000-001-140726884566816-1,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.302350,0.302350,0.000000,FILLED,1612137600000000000,1612137660000000000
O-20210322-000000-001-140726884566816-2,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.302350,0.302350,0.000000,FILLED,1616371200000000000,1616371260000000000
O-20210329-000000-001-140726884566816-3,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.310186,0.310186,0.000000,FILLED,1616976000000000000,1616976060000000000
O-20210419-000000-001-140726884566816-4,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.310186,0.310186,0.000000,FILLED,1618790400000000000,1618790460000000000
O-20210621-000000-001-140726884566816-5,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.489323,0.489323,0.000000,FILLED,1624233600000000000,1624233660000000000
O-20210628-000000-001-140726884566816-6,BTCUSDT.BINANCE,SELL,MARKET,GTC,0.489323,0.489323,0.000000,FILLED,1624838400000000000,1624838460000000000
O-20210726-000000-001-140726884566816-7,BTCUSDT.BINANCE,BUY,MARKET,GTC,0.478024,0.478024,0.000000,FILLED,1627257600000000000,1627257660000000000
