row_type,event_index,ts_event,instrument_id,side,signed_qty,quantity,avg_px_open,realized_pnl
FINAL_NATIVE_POSITION,0,1735718460000000000,BTCUSDT-PERP.BINANCE,LONG,0.001,0.001,93660.8,-0.09366080 USDT
PositionOpened,0,1735718460000000000,BTCUSDT-PERP.BINANCE,NATIVE_EVENT_SNAPSHOT,0.001,0.001,,
